Motif	Factor	Evidence	Curated
GM.5.0.Homeodomain.0003	hoxd9a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxa9a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxa9b	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb10a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxa10b	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb9a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxc9a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxd9a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxa9a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxa9b	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb10a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxa10b	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb2a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxa2b	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb2a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxa2b	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb7a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb7a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxa5a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxa5a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxc5a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxc5a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxd3a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxd3a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxd4a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxd4a	Orthologs	N
GM.5.0.C2H2_ZF.0003	NO ORTHOLOGS FOUND	Orthologs	N
GM.5.0.ARID_BRIGHT.0001	arid3c	Orthologs	N
GM.5.0.ARID_BRIGHT.0001	arid3a	Orthologs	N
GM.5.0.ARID_BRIGHT.0001	arid3c	Orthologs	N
GM.5.0.ARID_BRIGHT.0001	arid3a	Orthologs	N
GM.5.0.ARID_BRIGHT.0001	si_dkey-205h23.1	Orthologs	N
